Week,Coronavirus: (United States)
12/6/2020,100
12/13/2020,92
12/20/2020,93
12/27/2020,86
1/3/2021,79
1/10/2021,73
1/17/2021,66
1/24/2021,62
1/31/2021,52
2/7/2021,49
2/14/2021,47
2/21/2021,45
2/28/2021,48
3/7/2021,44
3/14/2021,42
3/21/2021,42
3/28/2021,41
4/4/2021,43
4/11/2021,40
4/18/2021,38
4/25/2021,38
5/2/2021,35
5/9/2021,33
5/16/2021,31
5/23/2021,29
5/30/2021,26
6/6/2021,24
6/13/2021,23
6/20/2021,21
6/27/2021,21
7/4/2021,21
7/11/2021,24
7/18/2021,31
7/25/2021,35
8/1/2021,41
8/8/2021,39
8/15/2021,35
8/22/2021,34
8/29/2021,29
9/5/2021,29
9/12/2021,26
9/19/2021,23
9/26/2021,20
10/3/2021,15
10/10/2021,12
10/17/2021,12
10/24/2021,11
10/31/2021,11
11/7/2021,11
11/14/2021,12
11/21/2021,13
11/28/2021,15
